INPUT:id	INPUT:text	GOLDEN:source
58	Бомбардировщики дальней авиации Ту-22М3 нанесли удар по объектам боевиков ИГИЛ <br> <br>18 ноября 2017 г. шесть дальних бомбардировщиков Ту-22М3 нанесли авиационный удар по объектам террористической группировки ИГИЛ в районе города Абу-Кемаль (провинция Дэйр-эз-Зор). Над территорией Сирии авиационное прикрытие бомбардировщиков выполняли истребители Су-30СМ, базирующиеся на авиабазе Хмеймим. <br><br>В результате удара были уничтожены скопление живой силы, техники и вооружения террористов. <br><br>Уничтожение всех назначенных целей подтверждено средствами объективного контроля, который осуществлялся с помощью специальных технических средств. <br><br>После выполнения боевого задания российские самолеты вернулись на аэродромы базирования.	mil
59	Международный день защиты детей у нас круглый год!	mchsgov
60	#СИРИЯ <br>Российская авиационная группа и постоянно действующее соединение ВМФ в Средиземном море продолжают оказывать поддержку сирийским войскам в ходе наступательной операции по разгрому плацдарма ИГИЛ в долине реки Евфрат. <br> <br>В течение последней недели развернутой в Сирии многоуровневой системой разведки Минобороны России вскрыты наиболее важные объекты ИГИЛ в провинции ДЕЙР-ЭЗ-ЗОР. <br> <br>Это командные пункты террористов, крупные склады оружия и боеприпасов и ангары с бронетехникой ИГИЛ в районе населенного пункта МЕЯДИН. <br> <br>Для поражения данных объектов, сегодня из акватории Средиземного моря подводными лодками Черноморского флота «Великий Новгород» и «Колпино» были нанесены два залповых удара крылатыми ракетами морского базирования «Калибр». <br> <br>Удары по объектам международных террористов в районе города МЕЯДИН нанесены в целях поддержки успешных наступательных действий сирийской армии по разгрому плацдарма ИГИЛ в провинции ДЕЙР-ЭЗ-ЗОР. <br> <br>Пуски 10 крылатых ракет произведены из подводного положения. <br> <br>Средствами объективного контроля подтверждено уничтожение всех назначенных целей. <br> <br>Группировке ИГИЛ в районе населенного пункта МЕЯДИН нанесен существенный урон, как в живой силе, так и технике.	mil
61	В начале следующей недели на учебно-тренировочном комплексе ВВО в Хабаровском крае стартует окружной этап конкурса «Военно-медицинская эстафета». <br> <br>В ходе состязания военные медики должны в кратчайшие сроки обнаружить условно раненого, наложить ему кровоостанавливающий жгут, оттащить в безопасное место, наложить первичную давящую повязку и вынести с поля боя. На дистанции присутствуют естественные преграды и искусственные препятствия — завалы, воронки, проходы в инженерных заграждениях и колючей проволоке, моделирующие реальную ситуацию в условиях боя. <br> <br>Кроме того, механики-водители продемонстрируют свои навыки в вождении многоцелевых легкобронированных тягачей на пересеченной местности. <br> <br>#Минобороны #ВВО #АРМИ #ВоенноМедицинскаяЭстафета	mil
62	День передовых технологий и инноваций в МЧС России<br><br>На выставке будут представлены современные образцы робототехнических средств, комплексы беспилотных летательных аппаратов, оснащение аэромобильной группировки. Спасатели развернут образцы городков жизнеобеспечения, применяемых при реагировании на различные ЧС.<br><br>http://www.mchs.gov.ru/dop/info/smi/news/item/5932140/	mchsgov
63	ЖЗЛ<br><br>Первым человеком, который попал на марку Великобритании и при этом не был «королевских кровей» стал Уильям Шекспир. Кстати, марки с его изображением очень быстро раскупили. Только малая часть ушла по назначению	russianpost
64	Министр обороны России поздравил военнослужащих и ветеранов с Днем инженерных войск <br><br>ПРИКАЗ <br> <br>МИНИСТРА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ <br> <br>18 января 2018 г. № 7 <br> <br>г. Москва <br> <br>Товарищи солдаты и матросы, сержанты и старшины, прапорщики, мичманы, офицеры! <br> <br>Уважаемые ученые, конструкторы, работники оборонной промышленности! <br> <br>Дорогие ветераны! <br> <br>21 января в Вооруженных Силах Российской Федерации отмечается День инженерных войск. <br> <br>Верные своему долгу и присяге, военные инженеры всегда отличались героизмом, мужеством и самоотверженностью. <br> <br>Осуществляя инженерное обеспечение боевых действий, создавая необходимые условия для их успешного ведения, личный состав войск во все времена способствовал укреплению оборонного потенциала Отечества. <br> <br>Сегодня военные инженеры достойно продолжают традиции, заложенные предшественниками, успешно осваивают сложную современную технику, совершенствуют профессиональную подготовку, эффективно решают поставленные задачи. <br> <br>Готовность сил и средств инженерных войск постоянно подтверждается при выполнении мероприятий по предупреждению и ликвидации последствий аварий, катастроф и стихийных бедствий не только в России, но и за ее пределами. <br> <br>Принимая участие в восстановлении социальной инфраструктуры, разминировании освобожденной от ИГИЛ территории Сирийской Арабской Республики, военные инженеры заслужили искреннюю благодарность и уважение сирийского народа. <br> <br>МИНИСТР ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ <br> <br>генерал армии <br> <br>С. Шойгу	mil
65	На западе столицы стартовало мероприятие «Снова в школу!» <br><br>Госавтоинспекция Западного административного округа г. Москвы примет участие в проведении общегородского профилактического мероприятия по предупреждению детского дорожно-транспортного травматизма «Снова в школу», которое приурочено к началу нового учебного года и продлится с 21 августа по 08 сентября 2017 года. <br> <br>Основными целями мероприятия являются напоминание детям о навыках безопасного поведения на дороге, их адаптация к сложным дорожным условиям, предупреждение несчастных случаев с детьми на улицах и дорогах города в период завершения школьных каникул и начала нового учебного года, повышение безопасности дорожного движения у школ и детских дошкольных учреждений, а также в местах массового нахождения детей, проведение разъяснительной работы среди участников дорожного движения по вопросам соблюдения Правил дорожного движения. <br> <br>В День знаний сотрудники ГИБДД будут обеспечивать безопасность дорожного движения у школ, примут участие в проведении школьных линеек и родительских собраний, на которых напомнят о необходимости соблюдения Правил дорожного движения и алгоритм безопасного движения по пути из дома в школу и обратно. <br> <br>Сотрудники Госавтоинспекции напоминают родителям о том, что дети берут пример с взрослых, поэтому необходимо на собственном примере воспитывать грамотных участников дорожного движения: учить детей правильно и безопасно переходить дорогу, не позволять им выходить на дорогу из-за стоящего транспорта (автобуса, троллейбуса, легковых машин и тд), помнить о светоотражателях на одежде ребенка, делающих его заметным на дороге. <br> <br>Уважаемые водители! Многие дети за период летних каникул отвыкли от городских дорог. Будьте предельно внимательными на дороге, особенно при проезде школ, остановок общественного транспорта, пешеходных переходов, парков, скверов, детских площадок и при движении в внутридворовой территории! Помните, что перевозить маленьких пассажиров в возрасте младше 7 лет, необходимо с использованием детских удерживающих систем (устройств), соответствующих весу и росту ребенка. Не забывайте пристегиваться сами и пристегивать ребенка каждый раз, когда отправляетесь с ним в поездку на автомобиле!<br><br>#МВДРоссии #Петровка38 #полиция #новости #безопасность #дети #СноваВШколу	mospolice
66	Друзья, у нас в группе заработала интерактивная вкладка «Путь посылки»<br><br>Посмотрите, какие этапы обработки проходит посылка от отправителя к получателю! Узнайте, какие пункты посещает международное отправление, в отличие от внутреннего, и наоборот. Кроме того, у вас появилась возможность отследить свое отправление по трек-номеру, не заходя на сайт.<br><br>Мы делаем все возможное, чтобы вам было удобней пользоваться сервисами Почты России.<br><br>https://vk.com/app4568878?from_install=2	russianpost
67	Пара танков Т-72Б мотострелкового подразделения #ЮВО на полигоне «Аданак»	mil
68	Напоминаем, что с 1 июля 2015 года существует важное правило: в темное время суток при нахождении вне населенных пунктов пешеходы должны иметь при себе специальные световозвращающие элементы (фликеры). Совсем недавно Почта России вместе с ГИБДД провела акцию «Засветись-Защитись!» для школьников Нижнего Новгорода, чтобы научить самых маленьких пешеходов заботиться о своей безопасности на дороге. Ребята познакомились с важной информацией о правилах дорожного движения, а затем приняли участие в квесте «Прогулка по безопасному городу”: попробовали себя в роли пешехода и водителя, искали с помощью фонарика фликеры в темной комнате, отвечали на вопросы викторины и даже изобрели новый знак дорожного движения.<br><br>Все участники акции получили в подарок фликеры, а также свидетельство участника акции, дающее право быть консультантом по безопасности на дороге для своих друзей и одноклассников. Приобрести фликеры различных видов можно в любом почтовом отделении, берегите себя и своих близких!<br><br>#ПочтаРоссии #НижнийНовгород	russianpost
69	"Друзья, вот и подошел к концу розыгрыш открыток, выпущенных для театрального фестиваля ""Золотая маска 2017""! Мы внимательно изучили ваши творческие работы и сегодня готовы объявить имена счастливых победителей!<br><br>Итак, открытки получают: [id19536746|Лешка Бармин], [id16652358|Алина Лукьянченко], [id21142980|Ксю Белова], [id201167808|Захар Ремизов], [id20094035|Олеся Муллина], [id5236472|Shooter Павлик], [id9488364|Анюта Карнаухова], [id61803389|Анастасия Кравченко], [id317879253|Юлия Дмитриева], [id99632731|Мария Галкина], [id132317225|Ася Петрова], [id90594766|Світлана Іванівна] и [id14932059|Ежатина Нуменорская]. От всей души поздравляем вас с победой, совсем скоро мы уточним в личных сообщениях адреса и отправим открытки! До встречи в новых конкурсах!<br><br>#ПочтаРоссии #РежиссерМоёПризвание #посткроссинг #postcrossing #открытки #postcards"	russianpost
70	Нас уже 20 000! Спасибо, что вы с нами! <br> <br>#МВД #Петровка38 #полиция #подписчики #вконтакте	mospolice
71	Тренировка «верных друзей» 470-го учебного центра служебного собаководства в Подмосковье<br><br>#Минобороны #Кинологи #ВерныйДруг	mil
72	Арктические образцы вооружения и военной техники на ночной тренировке к Параду Победы-2017<br><br>#Минобороны #ПарадПобеды2017 #Арктика #ОружиеРоссии	mil
73	В Национальном центре управления обороной РФ #НЦУО состоялась встреча руководства военного ведомства с представителями Управления генеральных инспекторов Минобороны. <br> <br>На встрече присутствовали статс-секретарь – заместитель Министра обороны Николай #Панков, заместители главы военного ведомства генерал армии Дмитрий #Булгаков и Татьяна #Шевцова, начальник Главного управления кадров генерал-полковник Виктор Горемыкин, начальник Главного управления по работе с личным составом полковник Михаил Барышев, представители профильных главных управлений и департаментов военного ведомства, а также заслуженные военачальники. <br> <br>На встрече обсуждались вопросы строительства и развития Вооруженных Сил Российской Федерации, совершенствования системы социальной поддержки военнослужащих, военных пенсионеров и членов их семей. Открывая мероприятие, Николай Панков поблагодарил заслуженных военачальников за то внимание, которое они уделяют Вооруженным Силам России, воспитанию молодого поколения защитников Отечества, после чего по поручению Министра обороны вручил им государственные награды. <br> <br>Ордена Почета был удостоен генерал армии Константин Якубов, почётная грамота Президента Российской Федерации была вручена генералу армии Игорю Пузанову.	mil
74	На Петровке, 38 с рабочим визитом побывала делегация полиции Королевства Нидерландов <br><br>Визит в Москву полицейской делегации Королевства Нидерландов проходил в рамках программы обмена опытом между правоохранительными ведомствами двух государств. <br> <br>Во встрече принимали участие заместитель начальника полиции ГУ МВД России по г. Москве – начальник Управления ГИБДД генерал-майор полиции Виктор Коваленко, комиссар полиции Королевства Нидерландов Пим Янсониус, помощник комиссара полиции Йонне Янсен, полицейский атташе Посольства Королевства Нидерландов в России Томас Кнаап, помощник полицейского атташе Алена Маренкова. <br> <br>Во время визита иностранные гости ознакомились с повседневной деятельностью службы ГИБДД. Гостей заинтересовала работа Ситуационного центра Госавтоинспекции Москвы, где на мониторах в режиме реального времени контролируется ситуация на дорогах города. Экскурсию по зданию УГИБДД провел для зарубежных коллег начальник управления Виктор Коваленко. Он показал уникальную экспозицию патрульного транспорта и ретроавтомобилей. <br> <br>Затем на Петровке, 38 нидерландским полицейским продемонстрировали функционал ДНК-лаборатории Экспертно-криминалистического центра столичного главка. Представители делегации высоко оценили работу экспертов, задавали много вопросов относительно организации деятельности подразделения. Также делегатов впечатлила коллекция натуральных образцов огнестрельного и других видов оружия, собранная в московском ЭКЦ. <br> <br>Иностранные коллеги посетили 1-й Оперативный полк полиции ГУ МВД России по г. Москве, где ознакомились не только со спецификой службы туристической полиции, но и увидели работу полицейской кавалерии. <br> <br>В завершение встречи представители делегации Королевства Нидерландов отметили высокий уровень организации деятельности московской полиции. <br> <br>Стоит отметить, что подобные визиты являются двусторонними и проводятся на постоянной основе. Так, к примеру, в этом году московские стражи правопорядка с целью обмена опытом в сфере деятельности подразделений полиции посетили Королевство Нидерландов (г. Апелдорн), где ознакомились со структурой и методикой работы зарубежных правоохранителей. <br> <br><br>#police #mvdrussia #МВД #мвдроссии #полиция #полицияроссии #мвд77 #петровка38 #визит #нидерланды	mospolice
75	Минобороны России на официальном сайте опубликовало документы о беспрецедентной помощи Польше со стороны СССР в годы Второй мировой войны http://helppoland.mil.ru/<br><br>В рамках мультимедийного проекта «Память против забвения» опубликованы уникальные исторические документы из фондов Центрального архива Минобороны России, рассказывающие об оказании Советским Союзом материальной помощи Польше в 1944-1945 годах. <br><br>В опубликованных документах приводятся сведения о помощи СССР населению освобожденных частями Красной Армии польских городов продовольствием, медикаментами, автотранспортом, топливом и сырьем для промышленных предприятий. <br><br>Как свидетельствуют архивные документы, помощь Советского Союза в освобожденную Польшу поступала из материальных запасов Красной Армии и из запасов народных комиссариатов СССР. <br><br>Только за период с марта по ноябрь 1945 год для обеспечения населения и на посевную кампанию Советским Союзом было передано продовольствия и фуража на сумму более 1,5 млрд рублей в ценах 1945 года. <br><br>В порядке трудового договора Временному правительству Польши в течение 2 и 3 кварталов 1945 года было поставлено более 130 тыс. тон продовольствия, 20 тыс. тонн хлопка, 100 тыс. тонн крупных кож, более 2 тыс. грузовых автомобилей. <br><br>Из ресурсов 1-го и 2-го Белорусских и 1-го Украинского фронтов в виде единовременной помощи для питания польских железнодорожников, угольщиков и других рабочих было передано более 8 тыс. тонн мяса. <br><br>В рассекреченных документах приведены данные о восстановлении частями Красной Армии польских железных дорог и мостов, разрушенных немецкими оккупантами. Так, только силами железнодорожных частей 1-го Белорусского фронта на территории Польши было восстановлено более 5 тыс. километров железных дорог, 12,5 тыс. проводо-километров железнодорожной связи; построено и отремонтировано более 30 тыс. погонных метров мостов. <br><br>Отдельно выделены документы о передаче полякам в период весенне-посевной кампании 1945 года посевного материала – семян пшеницы, ячменя, проса, кукурузы, фасоли, капусты, огурцов, лука и других, сельскохозяйственных машин и инвентаря, а также расписки польских крестьян в получении помощи. <br><br>Большой интерес пользователей вызовет впервые опубликованное Соглашение между советским военным командованием и временным правительством Польской республики об использовании оборудования германских предприятий и другого имущества, находящегося на территории Польши. В нем в частности отмечалось, что все без исключения польские заводы и оборудование передавались полякам, их демонтаж и вывоз строго запрещался. <br><br>В рассекреченных Минобороны России документах также отражены беспрецедентные объемы переданных Польше денежных средств, число привлеченных к восстановлению народного хозяйства страны советских военных и гражданских специалистов. <br><br>Исторические документы ранее не публиковались в открытых источниках и были доступны лишь узкому кругу специалистов. <br> <br>21 октября 2017 года в Польше вступил в силу закон о декоммунизации, который угрожает сносом памятникам Красной Армии, принесшей польскому народу освобождение от фашизма. <br><br>Одной из первых «жертв» варварского закона стал памятник благодарности Красной армии в польском городе Щецин. <br><br>Мультимедийный проект «Память против забвения» стал продолжением серии ранее опубликованных Минобороны России архивных документов периода 1944-1945 годов, посвященных освобождению Польши Красной Армией от немецко-фашистской оккупации и раскрывающих какой ценой досталась эта победа нашей стране. <br><br>Минобороны России публикует исторические документы в целях противодействия попыткам фальсификации истории и сохранения исторической правды.	mil
76	Дальние бомбардировщики Ту-22М3 нанесли удар по объектам террористов в Сирии <br><br>24 ноября 2017 г. шесть стратегических бомбардировщиков Ту-22М3, <br>взлетевших с аэродрома на территории России, нанесли авиационный удар по объектам террористической группировки ИГИЛ на западном берегу реки Евфрат в районе н.п. Аббас (провинция Дэйр-эз-Зор). <br> <br>В воздушном пространстве Сирии сопровождение и прикрытие бомбардировщиков осуществляли истребители Су-30СМ, базирующиеся на авиабазе Хмеймим. <br> <br>В результате удара были поражены опорные пункты террористов, и <br>скопления боевиков. <br> <br>Объективный контроль результатов авиационного удара осуществлялся с <br>помощью бесплотных летательных аппаратов. <br> <br>Все российские самолеты после выполнения боевого задания вернулись на аэродромы базирования.	mil
77	#МЧС #МЧСРОССИИ <br><br>Поздравление главы МЧС России Владимира Пучкова с Международным женским днем.<br><br>http://www.mchs.gov.ru/dop/info/smi/news/item/33114727/	mchsgov
78	ГСУ столичной полиции завершено расследование уголовного дела по факту мошенничества при получении выплат <br><br>«Главным следственным управлением ГУ МВД России по г. Москве завершено расследование уголовного дела в отношении мужчины, обвиняемого в хищении денежных средств учреждения путем незаконного получения социальных выплат», – сообщил врио начальника УИиОС ГУ МВД России по г. Москве полковник внутренней службы Юрий Титов. <br> <br>В ходе расследования установлено, что злоумышленник предоставил в одну из организаций столицы документы, содержащие заведомо ложные сведения о наличии у него инвалидности. На основании указанных документов мужчина получал социальные выплаты. Материальный ущерб составил свыше 1 млн 300 тысяч рублей. <br> <br>По данному факту ГСУ ГУ МВД России по г. Москве возбуждено уголовное дело по признакам преступления, предусмотренного ст. 159.2 УК РФ «Мошенничество при получении выплат». В мае текущего года фигуранту предъявлено обвинение в окончательной редакции в совершении инкриминируемого деяния. <br> <br>В настоящее время расследование завершено. Уголовное дело с утвержденным обвинительным заключением направлено в Люблинский районный суд г. Москвы для рассмотрения по существу.<br><br>#МВДРоссии #Петровка38 #полиция #новости #мошенничество	mospolice
79	Ротный комплект пусковых установок тяжелых огнеметных систем «Солнцепек» поступил на вооружение полка радиационной, химической и биологической защиты в Алтайском крае <br> <br>ТОС-1А на шасси танка Т-72 может вести огонь реактивными снарядами в термобарическом и дымозажигательном снаряжении. Она предназначена для поджога и разрушения сооружений и зданий, вывода из строя легкобронированной и автомобильной техники противника. <br> <br>#Минобороны #ЦВО #РХБЗ #Вооружение #Солцепек	mil
80	Бомбардировщик Су-34 на аэродроме Южного военного округа <br><br>#ЮВО #ВКС	mil
81	#МЧС #МЧСРОССИИ<br><br>МЧС России просит туристов воздержаться от поездок в Приэльбрусье и на Эльбрус в Кабардино-Балкарии из-за схода селевого потока.<br><br>http://www.mchs.gov.ru/dop/info/smi/news/item/33323782/	mchsgov
82	Ледокол «Илья Муромец» вышел из Балтийской военно-морской базы и взял курс в Баренцево море. За время стоянки в Балтийске экипаж судна пополнил запасы топлива, воды и продовольствия. В настоящее время ледокол вышел в море для совершения межфлотского перехода протяженностью около 2000 морских миль к месту постоянного базирования. <br> <br>Корабли и морская авиация Балтийского флота обеспечивали государственные испытания ледокола, которые проходили в морских полигонах флота. В ходе испытаний моряки-балтийцы проверяли работу авиационного комплекса, в ходе которой корабельные вертолеты морской авиации БФ совершили более 100 посадок на судно в различных погодных условиях в темное и светлое время суток. Кроме того, силы флота обеспечили испытание буксировочных возможностей ледокола и другие характеристики. <br> <br>Ледокол нового поколения «Илья Муромец» был заложен на «Адмиралтейских верфях» 23 апреля 2015 года, спущен на воду в июне 2016 года. Ледокол будет использоваться для обеспечения деятельности арктической группировки ВМФ России. Длина ледокола — 85 метров, ширина — 20 метров, осадка — 7 метров, скорость — 15 узлов, ледопроходимость — 1 метр. Экипаж ледокола будет состоять из 32 человек.<br><br>#Минобороны #БФ	mil
83	#цифрадня #цифрадня_ПочтаРоссии	russianpost
84	Смотрите в программе #Часовой на #ПервыйКанал и на сайте Минобороны России. <br> <br>Программа «Часовой» подготовила цикл из 4 передач о помощи российских военнослужащих жителям Сирийской Арабской Республики в борьбе с международным терроризмом и возвращению региона к мирной жизни. Первая серия цикла посвящена жизни на авиабазе Хмеймим. Вместе со съёмочной группой зрители узнают, как готовится к боевым вылетам наша авиация, в каких условиях служат наши лётчики и техники. Кроме того, ведущий познакомит вас с достопримечательностями древней Латакии, а заодно узнает, что думают о войне и мире местные жители. <br> <br>#Минобороны #ТВ #Часовой #ПервыйКанал #Телепередачи	mil
85	Команда столичной полиции одержала победу на открытом городском первенстве «Спортивная семья – 2018»<br><br>#police #mvdrussia #МВД #мвдроссии #полиция #полицияроссии #мвд77 #петровка38 #семья #первенство #спорт #спортивнаясемья	russianpost
86	Арктические мотострелки Северного флота #СФ впервые в современной российской истории совершили высадку на остров Голомянный архипелага Северная Земля <br> <br>В ходе нее подразделения арктической мотострелковой бригады на четырех многоцелевых бронированных транспортёрах МТ-ЛБВ провели рейдовые действия на незнакомой местности в Арктике. При поддержке штурмовых групп морской пехоты с БПК «Североморск» мотострелки захватили береговой плацдарм, а после подготовки мишенного поля выполнили боевые стрельбы из автоматов, пулемётов, миномётов и гранатомётов, сымитировав уничтожение условных диверсантов. <br> <br>Также во время шестого арктического похода произведена высадка и отработаны рейдовые действия на самой северной точке Евразийского континента — мысе Челюскин и на побережье острова Котельный архипелага Новосибирских островов.	mil
87	В Северной Осетии в рамках командно-штабного учения на полигоне Серноводский в Ставропольском крае подняты по тревоге расчеты оперативно-тактических ракетных комплексов «Искандер-М» <br> <br>В ближайшее время им предстоит совершить марш в назначенный район, отразить нападение условных диверсионно-разведывательных групп, провести тренировки с личным составом при налете авиации, преодолеть участки заражения, различных заграждений и естественных препятствий. <br> <br>Кроме того, ракетчики организуют перегрузку ракет в полевых условиях с использованием специальных транспортно-заряжающих машин, обнаружат цели на значительном удалении и уничтожат их, выполнив электронные пуски.	mil
88	#МЧС #МЧСРОССИИ <br><br>Непрерывный контроль экологического состояния воздуха осуществляется в Москве и Московской области.<br><br>http://www.mchs.gov.ru/dop/info/smi/news/item/33448990/	mchsgov
89	Бывший сотрудник банка подозревается в хищении около 3 млн рублей у пожилой супружеской пары <br><br>Сотрудники уголовного розыска ОМВД России по району Чертаново Северное задержали бывшего сотрудника банка по подозрению в краже крупной суммы денег у супругов-пенсионеров. <br> <br>В ОМВД России по району Чертаново Северное обратился представитель одного из финансовых учреждений с сообщением о пропаже около 3 млн рублей со счетов 89-летнего клиента и его 84-летней супруги. <br> <br>В ходе проверочных и оперативно-разыскных мероприятий установлено, что к краже причастен экс-сотрудник банка, 26-летний житель столицы. Молодой человек был задержан. <br> <br>Оказалось, что злоумышленник воспользовался служебным положением и перевел сбережения клиентов банка на другие счета. <br> <br>Следствием ОМВД России по району Чертаново Северное возбуждено уголовное дело по признакам состава преступления, предусмотренного ч. 4 ст. 158 УК РФ «Кража». В отношении подозреваемого избрана мера пресечения в виде подписки о невыезде.<br><br>#МВД #Петровка38 #полиция #Москва #новости #банк #пенсионеры	mospolice
